,Name,Address,Lattitude,Longitude,Faculty,Type,city,district,,,Ariyalur
105,MUTHAYAMMAL POLYTECHNIC COLLEGE,"Vengayapalayam, Rasipuram, Tamil Nadu 637408, India , 8/38 KAKKAVERI, RASIPURAM, Namakkal Dt., Tamil Nadu 637408, India",11.4470866,78.231238,Polytechnic,Self Finance,,Namakkal,,,
106,K.S.RANGASAMY INSTITUTE OF TECHNOLOGY,"KSR Kalvi Nagar, Tiruchengode, Namakkal, Tamil Nadu 637215, India",11.362752,77.827919,Polytechnic,Self Finance,,Namakkal,,,
107,CSI POLYTECHNIC COLLEGE,"Yercaud Main Rd, Gurukkal Colony, Hasthampatti, Salem, Tamil Nadu 636007, India",11.6842522,78.162574,Polytechnic,Self Finance,Salem,Salem,,,
108,THE SALEM CO-OP SUGAR MILLS POLYTECHNIC COLLEGE,"Sugar Mill Bus Stop, Velur Rd, Salem Co-operative Sugar Mill Staff Quarters, Tamil Nadu 637015, India",11.073509,78.1266117,Polytechnic,Self Finance,,Namakkal,,,
109,SUBRAMANIAN POLYTECHNIC COLLEGE,"Arimalam Road, Rayavaram, Tamil Nadu 622506, India",10.2577371,78.8166733,Polytechnic,Self Finance,,Pudukkottai,,,
110,A V C POLYTECHNIC COLLEGE,"Mayiladuthurai - Akkur Rd, Mannampandal, Mayiladuthurai, Tamil Nadu 609305, India",11.1062796,79.6898497,Polytechnic,Self Finance,,Mayiladuthurai,,,
111,SHANMUGHA POLYTECHNIC COLLEGE,"Sastra University Campus , TIRUMALAISAMUDRAM, Thanjavur, Tamil Nadu 613401, India",10.7297507,79.0159407,Polytechnic,Self Finance,,Thanjavur,,,
112,C C M RAMAKRISHNA POLYTECHNIC COLLEGE,"Kuruvady, Thanjavur, Tamil Nadu 613003, India",10.8487822,79.1540731,Polytechnic,Self Finance,,Thanjavur,,,
113,THE KARUR POLYTECHNIC COLLEGE,"Sanjay Nagar, Erode-Karur Road, Athur, Andankoil East, Tamil Nadu 639008, India",10.9759566,78.0376321,Polytechnic,Self Finance,Karur,Karur,,,
114,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,"Elambalur Village, Perambalur, Tamil Nadu 621220, India",11.2819133,78.8888503,Polytechnic,Self Finance,,Perambalur,,,
115,M.I.E.T. POLYTECHNIC COLLEGE,"Trichy Pudukottai Main Road, Gundur, Tiruchirappalli, Tamil Nadu 620007, India",10.7285331,78.7111274,Polytechnic,Self Finance,,Tiruchirappalli,,,
116,K.L.NAGASWAMY MEMORIAL POLYTECHNIC COLLEGE,"Kozhimedu,Viraganoor P.O, Madurai, Tamil Nadu 625009, India",9.894889,78.170438,Polytechnic,Self Finance,,Madurai,,,
